City,State,Population,lat,lon
Alameda,California,76419,37.7652065,-122.2416355
Manteca,California,71948,37.797427299999995,-121.21605259999998
Yuba City,California,65416,39.1404477,-121.6169108
Vacaville,California,94275,38.3565773,-121.98774440000001
Santa Monica,California,92472,34.01945429999999,-118.4911912
La Quinta,California,39331,33.663357299999994,-116.31000949999999
Delano,California,52403,35.7688425,-119.24705359999999
Corona,California,159503,33.8752935,-117.56643840000001
Rocklin,California,59738,38.7907339,-121.2357828
Santa Clarita,California,179590,34.3916641,-118.54258600000001
Hesperia,California,92147,34.4263886,-117.3008784
Redondo Beach,California,67815,33.8491816,-118.3884078
Temecula,California,106780,33.4936391,-117.14836480000001
Santee,California,56105,32.8383828,-116.97391670000002
Oxnard,California,203007,34.1975048,-119.17705159999998
Paramount,California,54980,33.8894598,-118.15979109999998
Anaheim,California,345012,33.8352932,-117.91450359999999
Monrovia,California,37101,34.14426160000001,-118.0019482
Santa Ana,California,334227,33.7455731,-117.8678338
Roseville,California,127035,38.752123499999996,-121.28800590000002
Woodland,California,56590,38.6785157,-121.7732971
Hemet,California,81750,33.7475203,-116.97196840000001
San Marcos,California,89387,33.1433723,-117.1661449
Lakewood,California,81121,33.853626899999995,-118.13395630000001
El Cajon,California,102211,32.7947731,-116.96252690000001
Rosemead,California,54561,34.0805651,-118.072846
Rancho Cucamonga,California,171386,34.1063989,-117.5931084
Watsonville,California,52477,36.910231,-121.7568946
Carlsbad,California,110972,33.158093300000004,-117.3505939
Redding,California,91119,40.5865396,-122.3916754
Bakersfield,California,363630,35.3732921,-119.0187125
South San Francisco,California,66174,37.654656,-122.40774979999999
Whittier,California,86635,33.97917929999999,-118.032844
Beaumont,California,40481,33.929460600000006,-116.977248
Norwalk,California,106589,33.9022367,-118.08173300000001
Highland,California,54291,34.1283442,-117.2086513
Rancho Cordova,California,67911,38.5890723,-121.302728
Burbank,California,104709,34.18083920000001,-118.30896609999998
Fullerton,California,138981,33.8703596,-117.9242966
Pico Rivera,California,63771,33.9830688,-118.09673500000001
Cerritos,California,49707,33.858348299999996,-118.0647871
La Puente,California,40435,34.0200114,-117.94950829999999
San Jose,California,998537,37.338208200000004,-121.88632859999998
Irvine,California,236716,33.6839473,-117.79469420000001
Pacifica,California,38606,37.613825299999995,-122.48691940000002
Lancaster,California,159523,34.6867846,-118.1541632
Cupertino,California,60189,37.322997799999996,-122.03218229999999
Gilroy,California,51701,37.0057816,-121.5682751
Fresno,California,509924,36.7468422,-119.7725868
San Gabriel,California,40275,34.0961111,-118.10583329999999
Redwood City,California,80872,37.4852152,-122.2363548
Union City,California,72528,37.59339179999999,-122.0438298
Aliso Viejo,California,50175,33.5676842,-117.72560829999999
Menifee,California,83447,33.6971468,-117.185294
San Ramon,California,74513,37.7799273,-121.9780153
Ontario,California,167500,34.0633443,-117.65088759999999
Glendale,California,196021,34.1425078,-118.255075
Gardena,California,59957,33.8883487,-118.30896240000001
West Sacramento,California,49891,38.5804609,-121.53023400000001
San Rafael,California,58994,37.9735346,-122.5310874
Simi Valley,California,126181,34.2694474,-118.78148200000001
West Covina,California,107740,34.0686208,-117.93895259999998
Carson,California,92599,33.8316745,-118.28169299999999
Santa Maria,California,102216,34.953033700000006,-120.43571909999999
La Mesa,California,58642,32.7678287,-117.02308390000002
Turlock,California,70365,37.494656799999994,-120.84659409999999
Martinez,California,37165,38.0193657,-122.1341321
Thousand Oaks,California,128731,34.1705609,-118.83759369999999
Azusa,California,47842,34.1336186,-117.90756270000001
Torrance,California,147478,33.835849200000006,-118.34062879999999
Oakley,California,38194,37.9974219,-121.71245359999999
Palo Alto,California,66642,37.441883399999995,-122.14301950000001
Brentwood,California,55000,37.931868,-121.6957863
Davis,California,66205,38.5449065,-121.74051670000001
La Mirada,California,49133,33.9172357,-118.01200859999999
Garden Grove,California,175140,33.773905299999996,-117.9414477
Lynwood,California,71371,33.930293,-118.21146029999998
Los Angeles,California,3884307,34.0522342,-118.24368490000002
Yucaipa,California,52536,34.033625,-117.0430865
Downey,California,113242,33.9401088,-118.13315929999999
South Gate,California,95677,33.954737,-118.21201609999999
Huntington Beach,California,197575,33.660297,-117.99922649999999
Stanton,California,38623,33.802515500000005,-117.9931165
Santa Clara,California,120245,37.354107899999995,-121.9552356
Oceanside,California,172794,33.1958696,-117.3794834
Lake Forest,California,79312,33.6469661,-117.689218
Compton,California,97877,33.8958492,-118.2200712
